"","item","Modality","Conc.M","CBOI_Mean","Max_strength.perceptual","Perceptibility"
"458","climb",NA,4.11,4.444444444,2.736842105,-1.49042778958595
"459","cook",NA,4.32,4.875,4.25,0.539276419098968
"460","cover",NA,4.23,4.041666667,3.212121212,-1.23638167358888
"461","cut",NA,4.55,4.933333333,3.45,-0.329992044204195
"462","drop",NA,4.21,3.961538462,3.764705882,-0.664344631306478
"463","dry",NA,NA,NA,NA,NA
"464","dump",NA,3.93,3.6,3.315789474,-1.43315485537552
"465","find",NA,2.63,3,3.444444444,-1.71433402863585
"466","fit",NA,2.7,3.25,4.333333333,-0.524090494499172
"467","fix",NA,2.93,4.074074074,3.722222222,-0.632503052953475
"468","hate",NA,1.97,2.533333333,3.578947368,-1.89381933442733
"469","have",NA,2.18,2.977777778,2.45,-2.86240616662257
"470","hear","auditory",3.66,3.62962963,4.611111111,0.0627632326186565
"471","hide",NA,3.21,3.913043478,3.25,-1.28493286450189
"472","hold",NA,3.68,4.945945946,4.352941176,0.707048884123669
"473","knock",NA,4.24,4.96969697,3.823529412,0.121211736143306
"474","lick",NA,4.52,5.647058824,3.315789474,0.0259216094270527
"475","like",NA,1.89,2.952380952,3.142857143,-2.09165001751638
"476","listen","auditory",3.47,3.652173913,4.55,0.00925350302714945
"477","make",NA,2.67,3.32,3.388888889,-1.54950174449461
"478","paint",NA,4.79,6.56,4.35,1.85414503478109
"479","pick",NA,3.82,4.483870968,2.666666667,-1.54222467462444
"480","pour",NA,4.14,4.647058824,3.636363636,-0.321853291325964
"481","pretend","abstract",2.11,4.086956522,2.85,-1.61639662039596
"482","rip",NA,3.79,4.16,2.529411765,-1.92934198286508
"483","shake",NA,4.07,3.821428571,2.888888889,-1.76137898167579
"484","share",NA,2.96,4.259259259,3.368421053,-0.903332338634412
"485","sit",NA,4.8,5.6,3.194444444,-0.145778756315256
"486","skate",NA,4.56,6.04,3.470588235,0.482244603426857
"487","spill",NA,4.07,5.407407407,4.277777778,0.950385592925189
"488","stand",NA,4.16,5.379310345,4,0.614092763504558
"489","stay",NA,2.15,3.481481481,3.35,-1.47868029830082
"490","sweep",NA,3.72,3.777777778,3.444444444,-1.15995950973036
"491","talk",NA,4.07,5.041666667,4.5,0.942710506559205
"492","taste",NA,4.07,4.962962963,4.647058824,1.05404811327988
"493","tear",NA,4.56,3.869565217,3.333333333,-1.22104289574063
"494","think","abstract",2.41,3.518518519,3.529411765,-1.24801077659071
"495","wake",NA,3.11,2.875,3.944444444,-1.23415083845224
"496","wish",NA,1.77,3.36,2.583333333,-2.43816293071426
"497","after",NA,2.12,3.28,1.05,-4.24097353401811
"498","before",NA,1.96,2.814814815,1.588235294,-3.95973009155844
"499","day",NA,3.92,4.555555556,4.210526316,0.266643798724067
"500","later",NA,1.8,3.185185185,1.555555556,-3.73295000909818
"501","morning",NA,3.44,3.68,3.588235294,-1.06593805662179
"502","night",NA,4.52,3.47826087,4.75,0.113005621641092
"503","now",NA,1.48,3.115384615,2.526315789,-2.67743455484106
"504","time","abstract",3.07,2.666666667,2.333333333,-3.21698776325092
"505","today",NA,2.57,4.034482759,2.5,-2.05229356602494
"506","tomorrow","abstract",2.04,2.64516129,1,-4.75039367766555
"507","tonight",NA,2.93,3.333333333,2.588235294,-2.45158888946545
"508","yesterday",NA,3,3.322580645,1.027777778,-4.23592473812994
"509","all gone",NA,NA,NA,NA,NA
"510","asleep",NA,3.71,4.391304348,3.157894737,-1.04891138648989
"511","awake",NA,3.32,3.666666667,3.789473684,-0.846320002492953
"512","bad","abstract",1.68,3.794117647,2.7,-1.99590630511737
"513","better",NA,1.91,2.923076923,2.294117647,-3.07887627365753
"514","big",NA,3.66,4,3.888888889,-0.495540927407749
"515","black","visual",3.76,3.6,4.470588235,-0.118349268278102
"516","blue","visual",3.76,5.541666667,4.45,1.24216621625554
"517","broken",NA,4.11,4.125,4.470588235,0.255853531876189
"518","brown","visual",4.48,4.76,4.384615385,0.610575635771193
"519","careful",NA,1.86,3.208333333,2.722222222,-2.38813288004151
"520","cold",NA,3.85,5.625,4.105263158,0.909060531042112
"521","cute",NA,2.76,3.533333333,4.166666667,-0.511899474761554
"522","dark","visual",4.29,4.038461538,4.684210526,0.437393160279038
"523","dirty",NA,4.23,3.96875,4.25,-0.106668890691177
"524","empty",NA,3.43,3.852941176,4.058823529,-0.406879163140312
"525","fast",NA,3.32,4,3.421052632,-1.02819972937744
"526","fine",NA,2.61,2.733333333,2.368421053,-3.12952053686031
"527","first",NA,2.76,3.692307692,3.1875,-1.51342598797554
"528","full",NA,3.59,4.44,4.210526316,0.184279584193428
"529","gentle","abstract",2.53,3.666666667,3.263157895,-1.44556115456653
"530","good","abstract",1.64,3.375,3,-1.95307217594035
"531","green","visual",4.07,4.814814815,4.473684211,0.751055881394378
"532","happy",NA,2.56,4.066666667,4.5,0.247762449129807
"533","hard",NA,3.76,4.357142857,4.55,0.511732270392128
"534","heavy",NA,3.37,4.04,3.3125,-1.12328252804768
"535","high",NA,3.46,4.12,3.166666667,-1.23230088463352
"536","hot",NA,4.31,4,4.117647059,-0.235086439432956
"537","hungry",NA,2.9,3.375,4.516595957,-0.226339428230945
"538","hurt",NA,3.61,3.958333333,3.944444444,-0.461986330434945
"539","last",NA,3.04,3.642857143,3.315789474,-1.40260768791416
"540","little",NA,3.67,3.4,4.277777778,-0.480428640884076
"541","long",NA,3.18,3.44,3.823529412,-0.969106148735806
"542","loud","auditory",3.73,4.961538462,4.68,1.09053822135789
"543","mad",NA,2.76,3.90625,3.157894737,-1.39464223458249
"544","naughty",NA,2.04,3.942857143,3.380952381,-1.11458575495068
"545","new",NA,2.81,4.217391304,3.9375,-0.285244949453535
"546","nice",NA,2.18,3.173913043,2.529411765,-2.63219246001751
"547","noisy","auditory",3.56,3.756097561,4.752296444,0.313653147732329
"548","old",NA,2.72,3.444444444,3.35,-1.50507908488143
"549","poor",NA,2.7,1.807692308,2.944444444,-3.13345098455506
"550","pretty",NA,2.4,2.333333333,5,-0.418421669570934
"551","quiet","auditory",2.76,3.853658537,4.285714286,-0.148039522111817
"552","red","visual",4.24,4.925925926,4.555555556,0.923467531509355
"553","sad",NA,3.07,3.666666667,3.352941176,-1.3433376646621
"554","scared",NA,2.5,2.869565217,3.777777778,-1.42778427129078
"555","sick",NA,2.97,4.615384615,3.894736842,-0.0502567000443669
"556","sleepy",NA,2.77,3.555555556,4.5625,-0.0453809190948787
"557","slow",NA,3.28,3.625,3.904761905,-0.744756289437434
"558","soft",NA,3.88,4.575757576,4.526315789,0.640587827518075
"559","sticky",NA,3.59,4.680851064,3.875,-0.02606590308663
"560","stuck",NA,3.55,4.086956522,3.777777778,-0.560067632786992
"561","thirsty",NA,3.86,4.25,4.55,0.435364352095116
"562","tiny",NA,3.11,3.481481481,3.894736842,-0.858465705466321
"563","tired",NA,3,2.9375,4.432432432,-0.63400016571122
"564","wet",NA,4.46,5.56,4.5,1.31216152488664
"565","white","visual",3.89,4.304347826,4.6,0.531029611443814
"566","windy",NA,3.86,5.12,3.764705882,0.161368799913801
"567","yellow","visual",4.3,5.708333333,4.588235294,1.51834968163774
"568","yucky",NA,1.86,3.84,3,-1.62163541008941
"569","he",NA,3.93,3.869565217,3.722222222,-0.778270266183481
"570","her",NA,3,3.68,4.242424242,-0.321105872092126
"571","hers",NA,2.61,2,3.095238095,-2.82469301566653
"572","him",NA,3.54,4.08,3.205882353,-1.21616223369871
"573","his",NA,3.14,3.734693878,2.75,-1.98133371134395
"574","I",NA,NA,NA,NA,NA
"575","it",NA,2.81,3.21875,2.9375,-2.13560194381144
"576","me",NA,4.33,5.444444444,4.108108108,0.783605587138719
"577","mine",NA,3.56,3.791666667,3.25,-1.37144627888284
"578","my",NA,2.42,3.722222222,1.833333333,-3.03390144032952
"579","myself",NA,2.97,4.4375,3.6875,-0.41299822955131
"580","our",NA,1.97,2.32,2.047619048,-3.78938274530668
"581","she",NA,3.36,3.72,3.578947368,-1.04800221130131
"582","that",NA,1.54,2.407407407,2.052631579,-3.72137455098203
"583","their",NA,3.34,2.28,3.1,-2.61969648298
"584","them",NA,3.04,3.525,3.555555556,-1.2136247619179
"585","these",NA,2.03,2.545454545,3.294117647,-2.20947494321402
"586","they",NA,2.93,2.333333333,3.0625,-2.62437816262717
"587","this",NA,2.14,3.260869565,2.142857143,-3.01032763071838
"588","those",NA,2.32,2.529411765,2.8125,-2.76925942763399
"589","us",NA,3.59,3.730769231,2.685714286,-2.0573240973202
"590","we",NA,3.08,3.620689655,4.055555556,-0.576141215798889
"591","you",NA,4.11,5.304347826,3.722222222,0.244395771722193
"592","your",NA,2.37,4,1.277777778,-3.46844286774412
"593","yourself",NA,4.39,4.586206897,3.666666667,-0.330724787158612
"594","how",NA,1.35,2.62962963,1.8,-3.85061758409974
"595","what",NA,2,2.333333333,1.681818182,-4.19636475424615
"596","when",NA,1.6,2.217391304,0.882352941,-5.18924213180221
"597","where",NA,1.66,2.48,2.947368421,-2.65092296961984
"598","who",NA,1.74,2.615384615,2.25,-3.34841977861808
"599","why",NA,1.86,3.038461538,2.3125,-2.97570452171242
"600","which",NA,1.54,2.333333333,1.0625,-4.90149454255618
"601","about",NA,1.77,2.444444444,1.4375,-4.39533886157767
"602","above",NA,3.33,3.34375,3.235294118,-1.70745010704064
"603","around",NA,1.96,2.76,2.842105263,-2.57119637351331
"604","at",NA,2.07,2.291666667,2.058823529,-3.79682086321659
"605","away",NA,2.23,3.291666667,2.59375,-2.47500871024161
"606","back",NA,4.33,4.413043478,2.78125,-1.46224839685319
"607","behind",NA,3.48,3.466666667,3.526315789,-1.28849402677685
"608","beside",NA,2.59,2.857142857,4.052631579,-1.12370147635083
"609","by",NA,1.55,2.142857143,2,-3.96986142738964
"610","down",NA,3.52,4.75,3.277777778,-0.656751059023265
"611","for",NA,1.63,2.69047619,1.052631579,-4.65817058621346
"612","here",NA,3.13,3.714285714,3.333333333,-1.33172103827238
"613","in",NA,NA,NA,NA,NA
"614","inside",NA,3.67,4.276595745,3.111111111,-1.18393780120821
"615","into",NA,2.3,3.230769231,3.388888889,-1.61310251329408
"616","next to",NA,NA,NA,NA,NA
"617","of",NA,1.67,2.2,1.5625,-4.42725107912156
"618","off",NA,2.79,4.916666667,2.388888889,-1.55000824359356
"619","on",NA,3.25,3.851851852,3.411764706,-1.14436971991495
"620","on top of",NA,NA,NA,NA,NA
"621","out",NA,2.73,3.488888889,3.45,-1.35954472156059
"622","over",NA,2.46,3.387096774,2.421052632,-2.60361525913775
"623","there",NA,2.2,2.958333333,2.8125,-2.46353818612509
"624","to",NA,1.55,2.384615385,1.1875,-4.72262260222765
"625","under",NA,3.45,4.260869565,3.15,-1.15086964402765
"626","up",NA,3.83,3.962962963,4.133333333,-0.243625490280834
"627","with",NA,2,2.636363636,3.5,-1.91026888230017
"628","a",NA,1.46,NA,2.428571429,NA
"629","all",NA,2.27,2.64516129,3.25,-2.18863775024541
"630","a lot",NA,NA,NA,NA,NA
"631","an",NA,1.46,1.52,0.615384615,-5.9902787796593
"632","another",NA,2.69,2.862068966,2.4375,-2.95911159438365
"633","any",NA,1.72,3.043478261,1.447368421,-3.95713141058132
"634","each",NA,2.03,2.384615385,3.111111111,-2.53247941749188
"635","every",NA,2.28,2.266666667,1.555555556,-4.38763991658231
"636","more",NA,2.37,3.565217391,3.058823529,-1.75051744075814
"637","much",NA,1.69,2.533333333,3.0625,-2.48182471494934
"638","not",NA,2.08,2.833333333,1.564102564,-3.97400721601222
"639","none",NA,2.59,2.2,1.666666667,-4.3086512672874
"640","other",NA,2.04,2.375,2.571428571,-3.15379292480222
"641","same",NA,2.64,3.191489362,3.333333333,-1.70435315032732
"642","some",NA,2.48,3.086956522,2.657142857,-2.5487429384409
"643","the",NA,1.43,2.869565217,1.055555556,-4.52719267705226
"644","too",NA,1.7,2.451612903,1.684210526,-4.10933512892499
"645","am",NA,1.96,NA,2.444444444,NA
"646","are",NA,1.96,2.083333333,1.5625,-4.51040725717121
"647","be",NA,1.85,3.441176471,2.029411765,-3.01097493950179
"648","could",NA,1.34,2.5,1.647058824,-4.11714576600585
"649","diddid ya",NA,NA,NA,NA,NA
"650","do",NA,2.46,3.674418605,2.47826087,-2.33368676321864
"651","does",NA,2.24,2.172413793,1.882352941,-4.08274243814279
"652","gonnagoing to",NA,NA,NA,NA,NA
"653","gottagot to",NA,NA,NA,NA,NA
"654","haftahave to",NA,NA,NA,NA,NA
"655","is",NA,1.59,2.04,1.684210526,-4.40271932108163
"656","lemmelet me",NA,NA,NA,NA,NA
"657","needneed to",NA,NA,NA,NA,NA
"658","trytry to",NA,NA,NA,NA,NA
"659","was",NA,1.69,2.222222222,1.166666667,-4.86209109046384
"660","were",NA,1.48,2.25,1.315789474,-4.67250700712985
"661","will",NA,2.64,2.192307692,2.571428571,-3.28401001665032
"662","would",NA,1.12,1.888888889,1.294117647,-4.95456981259129
"663","and",NA,1.52,1.791666667,1.842105263,-4.39995083908036
"664","because",NA,1.22,3.043478261,1.421052632,-3.98709346767265
"665","but",NA,2.04,3,1.428571429,-4.00952275979255
"666","if",NA,1.19,2.041666667,1.529411765,-4.57777877257963
"667","so",NA,1.42,2.04,1.647058824,-4.44501869566485
"668","then",NA,1.44,2.086956522,1.055555556,-5.08501051532672
